en,ko
almond,아몬드
almond biscuit,"아몬드, 비스킷"
sweet candy,사탕
caramel,카라멜
flowery,플로럴
woody cedar,우디
full-bodied,풀 바디
dark roasted,다크로스트
malt cereal,"맥아, 시리얼"
lively,싱그러운
sandalwood,"백단나무, 우디"
malty toasted,"보리, 구운 "
bold,중후한
rich,풍부한
ripe fruits,"과일, 풍부한"
fruity,과일
fruity-cereal,"과일, 시리얼"
lightly-bodied,가벼운
tobacco,담배
intense with heavy body,"무거운, 강렬한"
cocoa,코코아
hint of fruity,과일
vanilla,바닐라
deep,깊은
intensely roasted,"강렬한, 구운"
malty cereal,"맥아, 시리얼"
whiskey flavor,위스키
malted cereal,"맥아, 시리얼"
woody,우디
bitter cocoa,"쌉쌀한, 코코아"
sweet caramel,"달콤한, 카라멜"
cereal,시리얼
herbal.,허브
light,가벼운
wood,우디
dark chocolate,다크초코
walnut,호두
chocolately,초코
carmel,카라멜
powerful,강렬한
fruity-vegetables,"과일, 야채"
candied,"설탕, 과일"
malt,맥아
spicy,자극적인
orange,오렌지
pomegranate,석류
dark chocolate flavored,다크초코
juicy fruit,"풍부한, 과일"
sweet pumpkin,"달콤한, 호박"
vanilla flavored,바닐라
biscuit,비스킷
black pepper,후추
delicate,우아한
spiced,자극적인
roastiness,구운
clove,정향
peppermint,박하
harmonious,균형있는
mint,박하
bright,가벼운
unctuous,"고소한, 기름진"
jam,달콤한
nutty,견과류
hazelnut cake,"견과류, 헤이즐넛"
peppery,후추
strong,강한
cereals,시리얼
malted,맥아
mellow,부드러운
peach,복숭아
juicy,"과일, 풍부한"
lime,라임
fruity-winey,레드와인
hint of fruit,과일
sweet pastry,"달콤한, 과자"
pepper,후추
berry,크랜베리
dark,묵직한
sweet biscuit,"달콤한, 비스킷"
sweet cereals,"달콤한, 시리얼"
fruit,과일
velvety,우아한
popcorn,팝콘
smoky,스모키
roasted,구운
raspberry,라즈베리
hazelnut-flavored,견과류
syrup,당밀
liquorice,감초
yellow fruit,레몬
wild,강렬한
toasted cereal,"구운, 시리얼"
candied cherries,"설탕, 체리"
intense,강렬한
nutmeg,"견과류, 고소한"
highly intense,강렬한
pineapple,파인애플
round,부드러운
gingerbread,쿠키
honeyed,허니
cinnamon,시나몬
pumpkin pie,호박파이
floral,플로럴
sweet,달콤한
hazelnut,개암
malty,맥아
herbal,허브
dense,무거운
chocolate,초코
smooth,부드러운
sweet honey,"달콤한, 허니"
coconut,코코넛
caramel flavored,카라멜
honey,허니
mild,마일드
candied fruit,"설탕, 과일"
biscuity,비스킷
creamy,"부드러운, 고소한"
creamy carmel,"부드러운, 고소한, 카라멜"
sweet cereal,"달콤한, 시리얼"