idx,created_date,updated_date,name_ko,name_en,summary,thumbnail,user_grade
1,2023-03-01 12:00:00.000000,,에티오피아 예가체프 G2 워시드 (중배전),Ethiopia Yega Chef G2,"산미와 꽃 향기가 조화를 이루며, 원두의 맛을 최대한 살리기 위해 노력합니다.",default_bean.png,0
2,2023-03-01 12:43:12.000000,,과테말라 안티구아 SHB 워시드 (강배전),Guatemala Antigua SHB,"한국인들은 단맛을 좋아해서 부드럽고 달콤한 커피를 선호하며, 지역의 풍토가 커피 맛에 영향을 미친다.",default_bean.png,0
3,2023-03-01 13:26:24.000000,,에티오피아 코케 G1 펄프드내추럴 (중배전),Ethiopia Koke G1,"산미(신맛)이 높고 향이 풍부하며, 반대로 바디감과 쓴맛은 적습니다. 또한 허니 프로세싱의 단맛이 훌륭하여 인기가 높습니다. G로스팅은 최고의 맛과 향이 조화를 이룬 커피를 지향 합니다.",default_bean.png,0
4,2023-03-01 14:09:36.000000,,케냐 키암부 AA 워시드 (중배전),Kenya Kyambu AA,"산미(신맛)가 적은 커피이며, 클린한 바디감의 고소함이 좋습니다. 고급스러운 고소함을 추구하는 분들이 선호하는 커피입니다.",default_bean.png,0
5,2023-03-01 14:52:48.000000,,콜롬비아 콜롬비아 SUPREMO 워시드 (중배전),Colombia Colombian SUPREMO,"부드럽고 마일드한 맛과 깊은향으로 누구나 쉽게 즐길수 있는 커피입니다. 메이플시럽의 단맛과 곡물에서 느껴지는 구수함, 헤이즐넛이 연상되는 향미과 특징입니다.",default_bean.png,0
6,2023-03-01 15:36:00.000000,,페루 피우라 MICRO LOT 워시드 (중배전),Perufura Micro LOT,"고소함을 추구하는 분들이 선호하는 산뜻하고 가벼운 카라멜, 땅콩 맛의 커피입니다.",default_bean.png,0
7,2023-03-01 16:19:12.000000,,브라질 세하도 NY2 FC 내추럴 (중배전),Brazilian Sehado NY2 FC,신맛이 거의 없는 원두로 구수한 흙내음의 깊은 단맛이 좋습니다. 구수함이 높고 고소함은 적습니다.,default_bean.png,0
8,2023-03-01 17:02:24.000000,,케냐 키암부 FAQ 워시드 (중배전),Kenya Kyam FAQ,강한 산미와 베리류의 풍미가 특징인 커피.,default_bean.png,0
9,2023-03-01 17:45:36.000000,,파나마 보케테 SPECIALTY 워시드 (중배전),Panama Bokette SPECIALTY,"초콜릿향과 쓴맛, 단맛이 특징인 다양한 향의 커피.",default_bean.png,0
10,2023-03-01 18:28:48.000000,,브라질 세하도 NY2 FC 펄프드내추럴 (중배전),"Sehado, Brazil, NY2 FC","신맛이 적고 깊은 단맛과 구수한 흙내음이 좋은 원두이며, 고소함은 적습니다.",default_bean.png,0
11,2023-03-01 19:12:00.000000,,브라질 세하도 SPECIALTY 펄프드내추럴 (중배전),"Sehado, Brazil, SPECIALTY",고소함을 추구하는 분들이 선호하는 균형잡힌 맛의 마일드 커피.,default_bean.png,0
12,2023-03-01 19:55:12.000000,,코스타리카 나란조 MICRO LOT 워시드 (중배전),Costa Rica Naranzo Micro LOT,달코한 카라멜의 단맛이 느껴지는 코스타리카 커피입니다. 감귤의 달콤함과 과실의 산미가 더해져서 맛이 더 좋게 느껴집니다.,default_bean.png,0
13,2023-03-01 20:38:24.000000,,온두라스 엘 파라이소 SPECIALTY 워시드 (중배전),Honduras El Pariso SPECIALTY,"상큼한 망고와 사과, 감귤의 산미와 사탕, 카라멜의 감미, 부드러운 단맛이 깔끔한 커피.",default_bean.png,0
14,2023-03-01 21:21:36.000000,,에티오피아 시다모 SPECIALTY 워시드 (중배전),Ethiopia Sidamo SPECIALTY,"복숭아와 자두 톤의 깊은 향미와 농밀하고 단맛이좋고, 애프터 클린함이 참 좋은 커피입니다.",default_bean.png,0
15,2023-03-01 22:04:48.000000,,과테말라 우에우에테낭고 SHB 워시드 디카페인 (강배전),Guatemala U -Te Nango SHB  Decaf,"독특하고 섬세한 과일맛, 가볍고 산뜻한 바디감, 달콤한 꽃향기와 깔끔한 뒷맛을 지닌 미묘하고 온화한 맛.",default_bean.png,0
16,2023-03-01 22:48:00.000000,,콜롬비아 후일라 EXCELOS 워시드 디카페인 (강배전),Colombia Huila Excelos  Decaf,바닐라와 초콜릿 맛이 좋은 부드러운 커피.,default_bean.png,0
17,2023-03-01 23:31:12.000000,,인도 말라바르 AA 워시드 (중배전),"Malabar AA , India","너트향과 해비한 바디감, 텁텁하지 않은 불쾌함 없는 독특한 향미를 가진 열대 나무와 비슷한 향입니다.",default_bean.png,0
18,2023-03-02 00:14:24.000000,,코스타리카 따라주 SHB 워시드 (중배전),SHB  Following Costa Rica,"커피의 진주. 와인의 향, 부드러운 산미와 바디감이 균형을 이룬 커피입니다.",default_bean.png,0
19,2023-03-02 00:57:36.000000,,르완다 부산제 SPECIALTY 워시드 (중배전),Rwanda Busan Festival SPECIALTY,밀크초콜릿과 쌉싸름한 카카오가 조화를 이루는 부드러운 바디감의 맛이 특징이다.,default_bean.png,0
20,2023-03-02 01:40:48.000000,,브라질 카르모 데 미나스 - 워시드 디카페인 (중배전),Brazil Carmodeminas - Decaf,"초콜릿처럼 농후하고 강한 바디감과, 우리나라 사람들이 좋아하는 너트 계열의 풍미를 느낄수 있는 커피 입니다.",default_bean.png,0
21,2023-03-02 02:24:00.000000,,엘살바도르 산타아 MICRO LOT 워시드 (중배전),El Salvador Santa Micro Lot,"대체적으로 부드럽고 향기로와서 가볍게 마시기에 좋은 커피입니다. 부드러운 바디감, 상큼한 신맛 뒤에 느껴지는 쌉쌀한 느낌과 함께 올라오는 단맛의 여운등 여러가지 복합적인 맛을 주고 있습니다.",default_bean.png,0
22,2023-03-02 03:07:12.000000,,인도네시아 수마트라 G1 웻헐드 (중배전),Indonesia Sumatra G1,"매니아들이 선호하는 커피로, 바디감이 풍부하고 고소하고 달콤한 향과 강렬한 흙내음이 느껴지며 깔끔한 뒷맛이 남는다.",default_bean.png,0
23,2023-03-02 03:50:24.000000,,베트남 베트남 G1 워시드 (중배전),Vietnam Vietnam G1,옥수수와 곡물 같은 고소한 향미를 느낄 수 있는 커피 입니다.,default_bean.png,0
24,2023-03-02 04:33:36.000000,,에티오피아 시다모 G2 워시드 (중배전),Ethiopia G2,"상대적으로 낮은 카페일을 갖고 있어 저녁에 마시기에도 부담이 없는 커피로, 고급와인에서 느낄 수 있는 산뜻한 신맛과 감칠맛을 우아하게 느낄수 있습니다.",default_bean.png,0
25,2023-03-02 05:16:48.000000,,인도 치크마갈루르 AA 워시드 (중배전),Indian cheekmagalur AA,묵직하고 고소한 단맛 커피와 잔잔하고 중후한 향미 커피가 매력적이다.,default_bean.png,0
26,2023-03-02 06:00:00.000000,,에티오피아 시다모 G2 워시드 디카페인 (중배전),Ethiopia Shidamo G2  Decaf,"상대적으로 낮은 카페일을 갖고 있어 저녁에 마시기에도 부담이 없는 커피로, 고급와인에서 느낄 수 있는 산뜻한 신맛과 감칠맛을 우아하게 느낄수 있습니다.",default_bean.png,0
27,2023-03-02 06:43:12.000000,,콜롬비아 콜롬비아 SUPREMO 워시드 디카페인 (강배전),Colombia Colombia SUPREMO  Decaf,"부드럽고 깊은 향의 커피로, 메이플시럽과 곡물의 단맛과 구수함, 헤이즐넛 향미가 특징입니다.",default_bean.png,0
28,2023-03-02 07:26:24.000000,,에티오피아 예가체프 G2 워시드 (약배전),Ethiopia Yega Chef G2,"산미와 꽃 향기가 조화를 이루며, 원두의 맛을 최대한 살리기 위해 노력합니다.",default_bean.png,0
29,2023-03-02 08:09:36.000000,,브라질 세하도 NY2 FC 네추럴 (중배전),"Sehado, Brazil, NY2 FC",신맛이 거의 없는 원두로 구수한 흙내음의 깊은 단맛이 좋습니다. 구수함이 높고 고소함은 적습니다.,default_bean.png,0
30,2023-03-02 08:52:48.000000,,과테말라 안티구아 SHB 워시드 (중배전),Guatemala Antigua SHB,단맛이 그야말로 일품이다. 그래서인지 한국인에게 매우 많은 사랑을 받는 커피이다. 정말 그 지역의 풍토가 커피에 그대로 담겼다. 부드럽고 소박하지만 그 안의 강인함은 매우 매력적이다.,default_bean.png,0
31,2023-03-02 09:36:00.000000,,콜롬비아 후일라 SUPREMO 워시드 (중배전),Colombia Huila SUPREMO,산미와 부드러운 향이 좋은 아침 커피.,default_bean.png,0
32,2023-03-02 10:19:12.000000,,베트남 다낭 G1 폴리싱 (강배전),Vietnam Danang G1 POLISHING,덜 세련되었지만 질감과 바디감이 풍부한 맛을 내는 품종.,default_bean.png,0
33,2023-03-02 11:02:24.000000,,브라질 산토스 NY2 FC 내추럴 (중배전),Brazilian Santos NY2 FC,견과류와 다크 초콜릿의 단맛이 느껴지며 부드러운 커피입니다.,default_bean.png,0
34,2023-03-02 11:45:36.000000,,에티오피아 시다모 G4 내추럴 (중배전),Ethiopia Shidamo G4,"저녁에 부담 없는 커피로, 와인과 비슷한 맛을 느낄 수 있습니다.",default_bean.png,0
35,2023-03-02 12:28:48.000000,,에티오피아 예가체프 G4 내추럴 (중배전),Ethiopia Yega Chef G4,"산미와 꽃 향기가 좋은 커피로, 맛과 향을 최대한 살리기 위해 노력합니다.",default_bean.png,0
36,2023-03-02 13:12:00.000000,,탄자니아 음빙가 AA 워시드 (강배전),Tanzania Munbinga AA,"킬리만자로 산에서 재배되며 생두가 회색빛이 도는 녹색을 띠고있다. 신맛과 단맛의 밸런스도 좋고, 바디감이 뛰어나 영국 왕실에서도 사용하고 있는 커피이다.",default_bean.png,0
37,2023-03-02 13:55:12.000000,,콜롬비아 메데인 SUPREMO 워시드 (강배전),Colombian Medale Supremo,"결점두 적고 균일한크기로 이루어진 원두, 상큼한 과일향과 아몬드, 초콜릿 향이 나는 커피입니다.",default_bean.png,0
38,2023-03-02 14:38:24.000000,,코스타리카 따라주 SHB 워시드 (강배전),SHB  Following Costa Rica,"커피의 진주. 와인의 향, 부드러운 산미와 바디감이 균형을 이룬 커피입니다.",default_bean.png,0
39,2023-03-02 15:21:36.000000,,파푸아뉴기니 와기벨리 AA 워시드 (강배전),Papua New Guinea Wagi Valley AA,신맛과 꽃과 과일향 등의 풍부한 향미와 달콤한 맛이 일품인 커피입니다.,default_bean.png,0
40,2023-03-02 16:04:48.000000,,인도네시아 만델링 G1 워시드 (강배전),Indonesia Mandeling G1,호두 등 견과루와 곡물에서 느낄 수 있는 고소함이 풍성하게 느껴져요. 진한 다크 초콜릿을 먹은듯이 쌉싸롬한 맛과 함께 단맛의 여운의 풍미가 기분좋게 지속 됩니다.,default_bean.png,0
41,2023-03-02 16:48:00.000000,,온두라스 산티아고 푸링글라 SHB 워시드 (강배전),Honduras Santiago Fuingla SHB,열대과일과 홍차의 맛이 느껴지는 커피로 힘든 일상을 달래세요.,default_bean.png,0
42,2023-03-02 17:31:12.000000,,엘 살바도르 엘 살바도르 SHG 워시드 (강배전),El Salvador El Salvador SHG,"꽃향과 초콜렛, 꿀햐잉 배어나오는 것이 특징이며 약간의 신맛과 달콤함이 그 특징입니다.",default_bean.png,0
43,2023-03-02 18:14:24.000000,,케냐 키암부 AA 워시드 (강배전),Kenya Kyambu AA,산미가 적고 고소한 바디감이 좋은 고급스러운 커피.,default_bean.png,0
44,2023-03-02 18:57:36.000000,,콜롬비아 메데인 SUPREMO 워시드 디카페인 (강배전),Colombian Medale SUPREMO Decaf,"결점두 적고 균일한크기로 이루어진 원두, 상큼한 과일향과 아몬드, 초콜릿 향이 나는 커피입니다.",default_bean.png,0
45,2023-03-02 19:40:48.000000,,과테말라 안티구아 SHB 워시드 디카페인 (강배전),Guatemala Antigua SHB Decaf,단맛이 그야말로 일품이다. 그래서인지 한국인에게 매우 많은 사랑을 받는 커피이다. 정말 그 지역의 풍토가 커피에 그대로 담겼다. 부드럽고 소박하지만 그 안의 강인함은 매우 매력적이다.,default_bean.png,0
46,2023-03-02 20:24:00.000000,,에티오피아 예가체프 G2 워시드 디카페인 (강배전),Ethiopia Yega Chef G2 Decaf,"산미와 꽃 향기가 조화를 이루며, 원두의 맛을 최대한 살리기 위해 노력합니다.",default_bean.png,0
47,2023-03-02 21:07:12.000000,,브라질 산토스 NY2 FC 워시드 디카페인 (강배전),Brazilian Santos NY2 FC Decaf,견과류와 다크 초콜릿의 단맛이 느껴지며 부드러운 커피입니다.,default_bean.png,0